  Upd     Win   Draw   Loss    π-loss   V-loss       H    Buf      s
  232   90.0%   0.0%  10.0%   -0.0639   0.4078  2.1624   6804    1.4
  233   95.0%   0.0%   5.0%   -0.0621   0.4101  2.1440   6609    1.6
  234   95.0%   0.0%   5.0%   -0.0637   0.4185  2.1735   6528    1.6
  235   85.0%   0.0%  15.0%   -0.0652   0.4163  2.1701   6664    1.6
  236   90.0%   0.0%  10.0%   -0.0665   0.3989  2.1667   6611    1.4
  237   90.0%   0.0%  10.0%   -0.0649   0.4348  2.1529   6213    1.4
  238   85.0%   0.0%  15.0%   -0.0663   0.4239  2.1347   6199    1.4
  239  100.0%   0.0%   0.0%   -0.0659   0.4351  2.1383   6160    1.4
  240   95.0%   0.0%   5.0%   -0.0674   0.4259  2.1410   6331    1.4
  241  100.0%   0.0%   0.0%   -0.0667   0.4219  2.1327   6442    1.4
  242  100.0%   0.0%   0.0%   -0.0662   0.4389  2.1442   6554    1.8
  243  100.0%   0.0%   0.0%   -0.0673   0.4212  2.1597   6280    1.4
  244  100.0%   0.0%   0.0%   -0.0672   0.4247  2.1585   6387    1.4
  245   80.0%   0.0%  20.0%   -0.0663   0.4174  2.1395   6323    1.4
  246   90.0%   0.0%  10.0%   -0.0631   0.4028  2.1318   6510    1.4
  247  100.0%   0.0%   0.0%   -0.0682   0.4114  2.1172   6345    1.4
  248  100.0%   0.0%   0.0%   -0.0602   0.4184  2.1324   6826    1.4
  249  100.0%   0.0%   0.0%   -0.0660   0.4107  2.1340   6202    1.4
  250   94.0%   0.0%   6.0%   -0.0630   0.4159  2.1063   6451    1.6
  251  100.0%   0.0%   0.0%   -0.0565   0.4306  2.1177   5909    1.4
  252   95.0%   0.0%   5.0%   -0.0659   0.4287  2.1099   6176    1.4
  253  100.0%   0.0%   0.0%   -0.0646   0.4183  2.0909   6322    1.4
  254  100.0%   0.0%   0.0%   -0.0571   0.4341  2.0714   6066    1.2
  255   95.0%   0.0%   5.0%   -0.0588   0.4422  2.0937   5962    1.2
  256   95.0%   0.0%   5.0%   -0.0586   0.4185  2.0848   6024    1.2
  257  100.0%   0.0%   0.0%   -0.0663   0.4103  2.0802   6243    1.4
  258  100.0%   0.0%   0.0%   -0.0651   0.3993  2.0870   6375    1.4
  259  100.0%   0.0%   0.0%   -0.0656   0.4175  2.1078   6247    1.6
  260   94.5%   0.0%   5.5%   -0.0592   0.4235  2.0755   6422    1.4
  261   80.0%   0.0%  20.0%   -0.0621   0.3999  2.0793   6542    1.6
  262   95.0%   0.0%   5.0%   -0.0612   0.4218  2.0688   6569    1.4
  263   85.0%   0.0%  15.0%   -0.0618   0.4104  2.0454   6612    1.4
  264  100.0%   0.0%   0.0%   -0.0637   0.3983  2.0545   6577    1.4
  265  100.0%   0.0%   0.0%   -0.0525   0.3996  2.0227   6853    1.4
  266  100.0%   0.0%   0.0%   -0.0629   0.4112  1.9987   6654    1.6
  267   90.0%   0.0%  10.0%   -0.0648   0.3995  2.0045   6537    1.6
  268   90.0%   0.0%  10.0%   -0.0576   0.4013  1.9922   7055    1.4
  269  100.0%   0.0%   0.0%   -0.0604   0.4055  1.9847   6929    1.6
  270   97.5%   0.0%   2.5%   -0.0647   0.3889  1.9955   6867    1.4
  271  100.0%   0.0%   0.0%   -0.0622   0.4110  1.9902   6914    1.4
  272   95.0%   0.0%   5.0%   -0.0612   0.3974  1.9844   6655    1.4
  273   95.0%   0.0%   5.0%   -0.0640   0.4094  1.9672   6822    1.4
  274  100.0%   0.0%   0.0%   -0.0575   0.3652  1.9758   7165    1.6
  275   90.0%   0.0%  10.0%   -0.0626   0.4103  2.0194   6787    1.5
  276   95.0%   0.0%   5.0%   -0.0625   0.4004  2.0171   6950    1.4
  277  100.0%   0.0%   0.0%   -0.0615   0.3957  2.0440   7148    1.4
  278   95.0%   0.0%   5.0%   -0.0630   0.3766  2.0326   7100    1.6
  279   95.0%   0.0%   5.0%   -0.0672   0.3959  2.0096   7014    1.4
  280   94.5%   0.0%   5.5%   -0.0573   0.3882  1.9826   6853    1.4
  281  100.0%   0.0%   0.0%   -0.0658   0.4146  1.9850   6973    1.5
  282   90.0%   0.0%  10.0%   -0.0636   0.3925  1.9629   6799    1.6
  283  100.0%   0.0%   0.0%   -0.0632   0.4050  1.9558   6612    1.4
  284  100.0%   0.0%   0.0%   -0.0610   0.3956  1.9193   6863    1.4
  285  100.0%   0.0%   0.0%   -0.0673   0.4218  1.9403   6688    1.4
  286   90.0%   0.0%  10.0%   -0.0606   0.3950  1.9251   6756    1.4
  287  100.0%   0.0%   0.0%   -0.0609   0.3860  1.9331   6795    1.6
